id,query,metric,hits,sessions
136543384,пуговицы,pdp_view,18,5
140820103,ботаника набор,pdp_view,3,1
147185534,история 8 класс,pdp_view,1,1
146754058,солженицын,pdp_view,2,2
146364597,детские книги,pdp_view,1,1
135381760,bosch twk,pdp_view,2,2
147720177,нагрудник,pdp_view,3,1
144011014,озвученная,pdp_view,4,1
33290235,для носа,pdp_view,5,3
34646335,украшения наклейки,pdp_view,1,1
137122473,энциклопедия для детей,pdp_view,14,5
141501117,для иероглифов,pdp_view,1,1
142265764,отруби,pdp_view,20,9
35204543,милашки очаровашки,pdp_view,2,2
141694424,шклярова памятки,pdp_view,2,1
143566832,блинница электрическая,pdp_view,19,11
139752859,салатник,pdp_view,4,1
6276652,средство от тараканов,pdp_view,14,11
144649820,часы наручные мужские,pdp_view,4,2
136534159,скрапбукинг,pdp_view,17,5
147564654,маска для лица,pdp_view,13,9
29015682,подгузники haggies,pdp_view,4,1
140943228,ручка шариковая,pdp_view,9,1
141335918,stabilo,pdp_view,7,6
147177823,повязка для волос,pdp_view,3,3
135730822,135730822,pdp_view,1,1
146709381,loreal,pdp_view,5,4
138126464,kaaral k05,pdp_view,1,1
148240811,товары для животных,pdp_view,2,2
20000603,дерево выросшее до небес,pdp_view,1,1
139907237,bamblbee,pdp_view,1,1
146004524,лото для самых маленьких,pdp_view,1,1
140507018,каша,pdp_view,3,3
31015347,рис пропаренный,pdp_view,1,1
138552170,чай,pdp_view,1,1
143495004,палантин,pdp_view,1,1
142309541,4 сезона смесь,pdp_view,2,1
30845277,волшебная шубейка,pdp_view,5,4
141752418,тефаль сковорода,pdp_view,2,2
19668626,чайник заварочный,pdp_view,5,5
140860476,елена янушко многоразовые развивающие карточки,pdp_view,2,2
29900498,прокладки ежедневные carefree,pdp_view,1,1
146163639,ручка-корректор,pdp_view,2,1
147110381,уточка для ванной,pdp_view,4,3
18574221,книжка-играшка,pdp_view,1,1
140984878,оперативная память ddr3,pdp_view,4,2
27897233,виталий бианки лис и мышонок,pdp_view,1,1
145315964,ланчбокс,pdp_view,2,2
137530191,кондиционер для волос,pdp_view,18,1
142782045,шарики воздушные,pdp_view,6,1
146548696,учебник 4класс русский язык,pdp_view,1,1
141154171,экономика в комиксах,pdp_view,6,4
140674487,мебель для кукол,pdp_view,27,20
146182981,ваза,pdp_view,2,2
137620882,vilenta,pdp_view,6,6
142233166,егэ 2018 физика,pdp_view,1,1
147571842,елочные украшения,pdp_view,3,1
138812933,138812933,pdp_view,5,2
32482889,щипцы для барбекю,pdp_view,2,2
